Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
E0,18/12/99,Middlesbrough,Tottenham Hotspur,2,1,H,1,1,D
E0,18/12/99,Sunderland,Southampton,2,0,H,1,0,H
E0,18/12/99,Watford,Everton,1,3,A,0,2,A
E0,18/12/99,West Ham United,Manchester United,2,4,A,1,3,A
E0,19/12/99,Chelsea,Leeds United,0,2,A,0,0,D
E0,26/12/99,Coventry,Arsenal,3,2,H,2,0,H
E0,26/12/99,Derby,Aston Villa,0,2,A,0,0,D
E0,26/12/99,Everton,Sunderland,5,0,H,3,0,H
E0,26/12/99,Leeds United,Leicester City,2,1,H,2,1,H
E0,26/12/99,Manchester United,Bradford,4,0,H,0,0,D
E0,26/12/99,Newcastle United,Liverpool,2,2,D,1,1,D
E0,26/12/99,Sheffield Weds,Middlesbrough,1,0,H,1,0,H
E0,26/12/99,Southampton,Chelsea,1,2,A,0,2,A
E0,26/12/99,Tottenham Hotspur,Watford,4,0,H,2,0,H
E0,26/12/99,Wimbledon,West Ham United,2,2,D,1,1,D
E0,28/12/99,Arsenal,Leeds United,2,0,H,1,0,H
E0,28/12/99,Bradford,Everton,0,0,D,0,0,D
E0,28/12/99,Leicester City,Newcastle United,1,2,A,0,1,A
E0,28/12/99,Liverpool,Wimbledon,3,1,H,0,0,D
E0,28/12/99,Sunderland,Manchester United,2,2,D,2,1,H
E0,28/12/99,Watford,Southampton,3,2,H,2,0,H
E0,28/12/99,West Ham United,Derby,1,1,D,1,1,D
E0,29/12/99,Aston Villa,Tottenham Hotspur,1,1,D,0,1,A
E0,29/12/99,Chelsea,Sheffield Weds,3,0,H,2,0,H
E0,03/01/00,Derby,Watford,2,0,H,1,0,H
E0,03/01/00,Everton,Leicester City,2,2,D,1,2,A
E0,03/01/00,Leeds United,Aston Villa,1,2,A,0,1,A
E0,03/01/00,Newcastle United,West Ham United,2,2,D,1,0,H
E0,03/01/00,Sheffield Weds,Arsenal,1,1,D,0,1,A
E0,03/01/00,Southampton,Bradford,1,0,H,0,0,D
E0,03/01/00,Tottenham Hotspur,Liverpool,1,0,H,1,0,H
E0,03/01/00,Wimbledon,Sunderland,1,0,H,1,0,H
E0,04/01/00,Coventry,Chelsea,2,2,D,0,0,D
E0,08/01/00,Bradford,Chelsea,1,1,D,1,0,H
E0,12/01/00,Chelsea,Tottenham Hotspur,1,0,H,0,0,D
E0,15/01/00,Arsenal,Sunderland,4,1,H,3,0,H
E0,15/01/00,Chelsea,Leicester City,1,1,D,0,1,A
E0,15/01/00,Coventry,Wimbledon,2,0,H,0,0,D
E0,15/01/00,Everton,Tottenham Hotspur,2,2,D,1,2,A
E0,15/01/00,Middlesbrough,Derby,1,4,A,0,1,A
E0,15/01/00,Sheffield Weds,Bradford,2,0,H,0,0,D
E0,15/01/00,Watford,Liverpool,2,3,A,1,2,A
E0,15/01/00,West Ham United,Aston Villa,1,1,D,0,1,A
E0,16/01/00,Newcastle United,Southampton,5,0,H,4,0,H
E0,22/01/00,Aston Villa,Chelsea,0,0,D,0,0,D
E0,22/01/00,Bradford,Watford,3,2,H,2,1,H
E0,22/01/00,Derby,Coventry,0,0,D,0,0,D
E0,22/01/00,Leicester City,West Ham United,1,3,A,1,2,A
E0,22/01/00,Liverpool,Middlesbrough,0,0,D,0,0,D
E0,22/01/00,Southampton,Everton,2,0,H,0,0,D
E0,22/01/00,Tottenham Hotspur,Sheffield Weds,0,1,A,0,1,A
E0,22/01/00,Wimbledon,Newcastle United,2,0,H,0,0,D
E0,23/01/00,Sunderland,Leeds United,1,2,A,0,1,A
E0,24/01/00,Manchester United,Arsenal,1,1,D,0,1,A
E0,29/01/00,Manchester United,Middlesbrough,1,0,H,0,0,D
E0,02/02/00,Sheffield Weds,Manchester United,0,1,A,0,0,D
E0,05/02/00,Aston Villa,Watford,4,0,H,0,0,D
E0,05/02/00,Bradford,Arsenal,2,1,H,1,1,D
E0,05/02/00,Derby,Sheffield Weds,3,3,D,0,1,A
E0,05/02/00,Leicester City,Middlesbrough,2,1,H,2,0,H
E0,05/02/00,Liverpool,Leeds United,3,1,H,1,0,H
E0,05/02/00,Manchester United,Coventry,3,2,H,1,0,H
E0,05/02/00,Southampton,West Ham United,2,1,H,0,0,D
E0,05/02/00,Sunderland,Newcastle United,2,2,D,1,2,A
E0,05/02/00,Tottenham Hotspur,Chelsea,0,1,A,0,0,D
E0,06/02/00,Wimbledon,Everton,0,3,A,0,0,D
E0,12/02/00,Chelsea,Wimbledon,3,1,H,0,0,D
E0,12/02/00,Coventry,Sunderland,3,2,H,3,0,H
E0,12/02/00,Everton,Derby,2,1,H,2,0,H
E0,12/02/00,Leeds United,Tottenham Hotspur,1,0,H,1,0,H
E0,12/02/00,Newcastle United,Manchester United,3,0,H,1,0,H
E0,12/02/00,Sheffield Weds,Southampton,0,1,A,0,1,A
E0,12/02/00,Watford,Leicester City,1,1,D,0,1,A
E0,12/02/00,West Ham United,Bradford,5,4,H,2,2,D
E0,13/02/00,Arsenal,Liverpool,0,1,A,0,1,A
E0,14/02/00,Middlesbrough,Aston Villa,0,4,A,0,1,A
E0,19/02/00,Middlesbrough,Coventry,2,0,H,2,0,H
E0,20/02/00,Leeds United,Manchester United,0,1,A,0,0,D
E0,26/02/00,Arsenal,Southampton,3,1,H,2,0,H
E0,26/02/00,Bradford,Aston Villa,1,1,D,0,1,A
E0,26/02/00,Chelsea,Watford,2,1,H,1,1,D
E0,26/02/00,Coventry,Tottenham Hotspur,0,1,A,0,0,D
E0,26/02/00,Middlesbrough,Leeds United,0,0,D,0,0,D
E0,26/02/00,Sheffield Weds,Newcastle United,0,2,A,0,1,A
E0,26/02/00,Sunderland,Derby,1,1,D,0,0,D
E0,26/02/00,West Ham United,Everton,0,4,A,0,1,A
E0,26/02/00,Wimbledon,Manchester United,2,2,D,1,1,D
E0,04/03/00,Derby,Wimbledon,4,0,H,0,0,D
E0,04/03/00,Everton,Sheffield Weds,1,1,D,1,0,H
E0,04/03/00,Manchester United,Liverpool,1,1,D,1,1,D
E0,04/03/00,Newcastle United,Chelsea,0,1,A,0,1,A
E0,04/03/00,Southampton,Middlesbrough,1,1,D,1,1,D
E0,04/03/00,Tottenham Hotspur,Bradford,1,1,D,1,1,D
E0,04/03/00,Watford,West Ham United,1,2,A,0,2,A
E0,05/03/00,Aston Villa,Arsenal,1,1,D,0,0,D
E0,05/03/00,Leeds United,Coventry,3,0,H,2,0,H
E0,05/03/00,Leicester City,Sunderland,5,2,H,2,0,H
E0,08/03/00,West Ham United,Southampton,2,0,H,1,0,H
E0,11/03/00,Aston Villa,Coventry,1,0,H,1,0,H
E0,11/03/00,Chelsea,Everton,1,1,D,1,0,H
E0,11/03/00,Liverpool,Sunderland,1,1,D,1,0,H
E0,11/03/00,Manchester United,Derby,3,1,H,1,0,H
E0,11/03/00,Newcastle United,Watford,1,0,H,0,0,D
E0,11/03/00,Sheffield Weds,West Ham United,3,1,H,0,1,A
E0,11/03/00,Tottenham Hotspur,Southampton,7,2,H,4,2,H
E0,11/03/00,Wimbledon,Leicester City,2,1,H,1,0,H
E0,12/03/00,Bradford,Leeds United,1,2,A,0,1,A
E0,12/03/00,Middlesbrough,Arsenal,2,1,H,0,0,D
E0,15/03/00,Coventry,Everton,1,0,H,0,0,D
E0,15/03/00,Liverpool,Aston Villa,0,0,D,0,0,D
E0,18/03/00,Coventry,Bradford,4,0,H,2,0,H
E0,18/03/00,Derby,Liverpool,0,2,A,0,1,A
E0,18/03/00,Leicester City,Manchester United,0,2,A,0,1,A
E0,18/03/00,Southampton,Aston Villa,2,0,H,1,0,H
E0,18/03/00,Sunderland,Middlesbrough,1,1,D,0,0,D
E0,18/03/00,Watford,Sheffield Weds,1,0,H,0,0,D
