Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,,,,,,,,,,,
D1,31/10/98,VfB Stuttgart,VfL Bochum,4,2,H,2,1,H,,,,,,,,,,,
D1,31/10/98,Werder Bremen,Duisburg,1,1,D,0,1,A,,,,,,,,,,,
D1,01/11/98,Hertha Berlin,Nurnberg,3,0,H,3,0,H,,,,,,,,,,,
D1,03/11/98,Schalke 04,SC Freiburg,1,1,D,1,0,H,,,,,,,,,,,
D1,06/11/98,Duisburg,Nurnberg,1,1,D,0,1,A,,,,,,,,,,,
D1,06/11/98,Werder Bremen,Borussia Dortmund,1,1,D,0,1,A,,,,,,,,,,,
D1,07/11/98,Bayern Munich,TSV Munich 1860,3,1,H,0,0,D,,,,,,,,,,,
D1,07/11/98,VfL Bochum,Hertha Berlin,2,0,H,0,0,D,,,,,,,,,,,
D1,07/11/98,SC Freiburg,Kaiserslautern,0,1,A,0,1,A,,,,,,,,,,,
D1,07/11/98,Hamburg SV,Schalke 04,2,2,D,1,0,H,,,,,,,,,,,
D1,07/11/98,Hansa Rostock,Eintracht Frankfurt,2,2,D,1,1,D,,,,,,,,,,,
D1,07/11/98,VfL Wolfsburg,Borussia Monchengladbach,7,1,H,4,1,H,,,,,,,,,,,
D1,08/11/98,Bayer Leverkusen,VfB Stuttgart,0,0,D,0,0,D,,,,,,,,,,,
D1,10/11/98,Kaiserslautern,Hamburg SV,1,0,H,0,0,D,,,,,,,,,,,
D1,10/11/98,TSV Munich 1860,Hansa Rostock,2,1,H,1,0,H,,,,,,,,,,,
D1,11/11/98,Borussia Dortmund,Duisburg,2,0,H,2,0,H,,,,,,,,,,,
D1,11/11/98,Eintracht Frankfurt,SC Freiburg,3,1,H,2,1,H,,,,,,,,,,,
D1,11/11/98,Hertha Berlin,Bayer Leverkusen,0,1,A,0,0,D,,,,,,,,,,,
D1,11/11/98,Nurnberg,VfL Bochum,2,2,D,1,1,D,,,,,,,,,,,
D1,11/11/98,VfB Stuttgart,VfL Wolfsburg,1,2,A,1,1,D,,,,,,,,,,,
D1,13/11/98,Hansa Rostock,Borussia Monchengladbach,1,1,D,0,1,A,,,,,,,,,,,
D1,13/11/98,Werder Bremen,Kaiserslautern,0,1,A,0,0,D,,,,,,,,,,,
D1,14/11/98,Bayern Munich,VfB Stuttgart,2,0,H,0,0,D,,,,,,,,,,,
D1,14/11/98,Borussia Dortmund,Schalke 04,3,0,H,2,0,H,,,,,,,,,,,
D1,14/11/98,Duisburg,VfL Bochum,2,0,H,1,0,H,,,,,,,,,,,
D1,14/11/98,Hamburg SV,Eintracht Frankfurt,0,1,A,0,1,A,,,,,,,,,,,
D1,14/11/98,Bayer Leverkusen,Nurnberg,3,0,H,3,0,H,,,,,,,,,,,
D1,14/11/98,VfL Wolfsburg,Hertha Berlin,2,1,H,2,1,H,,,,,,,,,,,
D1,15/11/98,SC Freiburg,TSV Munich 1860,1,2,A,1,0,H,,,,,,,,,,,
D1,20/11/98,Eintracht Frankfurt,Werder Bremen,0,2,A,0,0,D,,,,,,,,,,,
D1,20/11/98,Schalke 04,Duisburg,2,0,H,1,0,H,,,,,,,,,,,
D1,21/11/98,VfL Bochum,Bayer Leverkusen,1,5,A,0,2,A,,,,,,,,,,,
D1,21/11/98,Hertha Berlin,Bayern Munich,1,0,H,0,0,D,,,,,,,,,,,
D1,21/11/98,Kaiserslautern,Borussia Dortmund,1,0,H,0,0,D,,,,,,,,,,,
D1,21/11/98,TSV Munich 1860,Hamburg SV,0,0,D,0,0,D,,,,,,,,,,,
D1,21/11/98,Nurnberg,VfL Wolfsburg,1,1,D,0,0,D,,,,,,,,,,,
D1,21/11/98,VfB Stuttgart,Hansa Rostock,1,1,D,1,0,H,,,,,,,,,,,
D1,22/11/98,Borussia Monchengladbach,SC Freiburg,3,1,H,2,1,H,,,,,,,,,,,
D1,24/11/98,Borussia Dortmund,Hamburg SV,2,1,H,1,0,H,,,,,,,,,,,
D1,24/11/98,Schalke 04,Werder Bremen,1,2,A,0,0,D,,,,,,,,,,,
D1,27/11/98,Borussia Dortmund,Eintracht Frankfurt,3,1,H,1,0,H,,,,,,,,,,,
D1,27/11/98,Hansa Rostock,Hertha Berlin,1,2,A,0,0,D,,,,,,,,,,,
D1,28/11/98,Bayern Munich,Nurnberg,2,0,H,1,0,H,,,,,,,,,,,
D1,28/11/98,SC Freiburg,VfB Stuttgart,2,0,H,2,0,H,,,,,,,,,,,
D1,28/11/98,Hamburg SV,Borussia Monchengladbach,3,0,H,2,0,H,,,,,,,,,,,
D1,28/11/98,Bayer Leverkusen,Duisburg,2,0,H,1,0,H,,,,,,,,,,,
D1,28/11/98,Werder Bremen,TSV Munich 1860,4,1,H,1,1,D,,,,,,,,,,,
D1,28/11/98,VfL Wolfsburg,VfL Bochum,4,1,H,2,1,H,,,,,,,,,,,
D1,29/11/98,Kaiserslautern,Schalke 04,4,1,H,1,1,D,,,,,,,,,,,
D1,04/12/98,VfL Bochum,Bayern Munich,2,2,D,1,1,D,,,,,,,,,,,
D1,04/12/98,Nurnberg,Hansa Rostock,2,2,D,2,1,H,,,,,,,,,,,
D1,05/12/98,Eintracht Frankfurt,Schalke 04,1,2,A,0,2,A,,,,,,,,,,,
D1,05/12/98,Bayer Leverkusen,VfL Wolfsburg,3,0,H,2,0,H,,,,,,,,,,,
D1,05/12/98,VfB Stuttgart,Hamburg SV,3,1,H,1,1,D,,,,,,,,,,,
D1,06/12/98,TSV Munich 1860,Borussia Dortmund,2,0,H,1,0,H,,,,,,,,,,,
D1,08/12/98,Borussia Monchengladbach,Werder Bremen,0,1,A,0,1,A,,,,,,,,,,,
D1,11/12/98,Borussia Dortmund,Borussia Monchengladbach,1,1,D,1,1,D,,,,,,,,,,,
D1,11/12/98,Hamburg SV,Hertha Berlin,0,4,A,0,1,A,,,,,,,,,,,
D1,12/12/98,SC Freiburg,Nurnberg,1,0,H,1,0,H,,,,,,,,,,,
D1,12/12/98,Hansa Rostock,VfL Bochum,3,0,H,1,0,H,,,,,,,,,,,
D1,12/12/98,Kaiserslautern,Eintracht Frankfurt,2,1,H,1,0,H,,,,,,,,,,,
D1,12/12/98,Schalke 04,TSV Munich 1860,2,2,D,0,1,A,,,,,,,,,,,
D1,12/12/98,Werder Bremen,VfB Stuttgart,2,2,D,0,1,A,,,,,,,,,,,
D1,12/12/98,VfL Wolfsburg,Duisburg,4,2,H,1,0,H,,,,,,,,,,,
D1,13/12/98,Bayern Munich,Bayer Leverkusen,2,0,H,2,0,H,,,,,,,,,,,
D1,15/12/98,Hertha Berlin,SC Freiburg,1,0,H,1,0,H,,,,,,,,,,,
D1,16/12/98,Duisburg,Kaiserslautern,3,1,H,0,1,A,,,,,,,,,,,
D1,16/12/98,Borussia Monchengladbach,Bayern Munich,0,2,A,0,2,A,,,,,,,,,,,
D1,18/12/98,Borussia Dortmund,VfB Stuttgart,3,0,H,1,0,H,,,,,,,,,,,
D1,18/12/98,SC Freiburg,VfL Bochum,1,1,D,0,0,D,,,,,,,,,,,
D1,19/12/98,Bayern Munich,VfL Wolfsburg,3,0,H,1,0,H,,,,,,,,,,,
D1,19/12/98,Eintracht Frankfurt,Duisburg,0,0,D,0,0,D,,,,,,,,,,,
D1,19/12/98,Hamburg SV,Nurnberg,2,0,H,0,0,D,,,,,,,,,,,
D1,19/12/98,Hansa Rostock,Bayer Leverkusen,1,1,D,0,1,A,,,,,,,,,,,
D1,19/12/98,Kaiserslautern,TSV Munich 1860,1,1,D,0,0,D,,,,,,,,,,,
D1,19/12/98,Schalke 04,Borussia Monchengladbach,1,0,H,0,0,D,,,,,,,,,,,
D1,20/12/98,Werder Bremen,Hertha Berlin,2,1,H,1,0,H,,,,,,,,,,,
D1,19/02/99,VfL Wolfsburg,Hansa Rostock,1,1,D,0,1,A,,,,,,,,,,,
D1,20/02/99,Duisburg,Bayern Munich,0,3,A,0,2,A,,,,,,,,,,,
D1,20/02/99,Hertha Berlin,Borussia Dortmund,3,0,H,0,0,D,,,,,,,,,,,
D1,20/02/99,Bayer Leverkusen,SC Freiburg,1,1,D,0,1,A,,,,,,,,,,,
D1,20/02/99,TSV Munich 1860,Eintracht Frankfurt,4,1,H,4,0,H,,,,,,,,,,,
D1,20/02/99,Nurnberg,Werder Bremen,1,1,D,1,1,D,,,,,,,,,,,
D1,20/02/99,VfB Stuttgart,Schalke 04,2,1,H,0,0,D,,,,,,,,,,,
D1,21/02/99,Borussia Monchengladbach,Kaiserslautern,0,2,A,0,1,A,,,,,,,,,,,
D1,26/02/99,Kaiserslautern,VfB Stuttgart,1,1,D,0,0,D,,,,,,,,,,,
D1,26/02/99,Werder Bremen,VfL Bochum,1,1,D,0,1,A,,,,,,,,,,,
D1,27/02/99,Borussia Dortmund,Nurnberg,3,0,H,1,0,H,,,,,,,,,,,
D1,27/02/99,Eintracht Frankfurt,Borussia Monchengladbach,0,0,D,0,0,D,,,,,,,,,,,
D1,27/02/99,SC Freiburg,VfL Wolfsburg,0,0,D,0,0,D,,,,,,,,,,,
D1,27/02/99,Hamburg SV,Bayer Leverkusen,0,0,D,0,0,D,,,,,,,,,,,
D1,27/02/99,Hansa Rostock,Bayern Munich,0,4,A,0,0,D,,,,,,,,,,,
D1,27/02/99,TSV Munich 1860,Duisburg,0,0,D,0,0,D,,,,,,,,,,,
D1,28/02/99,Schalke 04,Hertha Berlin,0,0,D,0,0,D,,,,,,,,,,,
D1,05/03/99,Duisburg,Hansa Rostock,4,1,H,3,0,H,,,,,,,,,,,
D1,05/03/99,Nurnberg,Schalke 04,3,0,H,2,0,H,,,,,,,,,,,
D1,06/03/99,Bayern Munich,SC Freiburg,2,0,H,1,0,H,,,,,,,,,,,
D1,06/03/99,VfL Bochum,Borussia Dortmund,0,1,A,0,1,A,,,,,,,,,,,
D1,06/03/99,Hertha Berlin,Kaiserslautern,1,1,D,0,1,A,,,,,,,,,,,
D1,06/03/99,Borussia Monchengladbach,TSV Munich 1860,2,0,H,1,0,H,,,,,,,,,,,
D1,06/03/99,VfB Stuttgart,Eintracht Frankfurt,2,0,H,1,0,H,,,,,,,,,,,
D1,06/03/99,VfL Wolfsburg,Hamburg SV,4,1,H,1,1,D,,,,,,,,,,,
D1,07/03/99,Bayer Leverkusen,Werder Bremen,2,0,H,0,0,D,,,,,,,,,,,
D1,12/03/99,Borussia Dortmund,Bayer Leverkusen,1,0,H,1,0,H,,,,,,,,,,,
D1,12/03/99,SC Freiburg,Hansa Rostock,3,0,H,0,0,D,,,,,,,,,,,
D1,13/03/99,Hamburg SV,Bayern Munich,0,2,A,0,2,A,,,,,,,,,,,
D1,13/03/99,Kaiserslautern,Nurnberg,2,0,H,1,0,H,,,,,,,,,,,
D1,13/03/99,Borussia Monchengladbach,Duisburg,0,2,A,0,0,D,,,,,,,,,,,
D1,13/03/99,TSV Munich 1860,VfB Stuttgart,1,1,D,0,0,D,,,,,,,,,,,
D1,13/03/99,Schalke 04,VfL Bochum,2,2,D,2,2,D,,,,,,,,,,,
D1,13/03/99,Werder Bremen,VfL Wolfsburg,0,1,A,0,0,D,,,,,,,,,,,
D1,14/03/99,Eintracht Frankfurt,Hertha Berlin,1,1,D,0,0,D,,,,,,,,,,,
D1,16/03/99,VfL Bochum,Hamburg SV,2,0,H,1,0,H,,,,,,,,,,,
D1,19/03/99,Bayer Leverkusen,Schalke 04,1,1,D,1,0,H,,,,,,,,,,,
D1,19/03/99,VfL Wolfsburg,Borussia Dortmund,0,0,D,0,0,D,,,,,,,,,,,
D1,20/03/99,Bayern Munich,Werder Bremen,1,0,H,0,0,D,,,,,,,,,,,
D1,20/03/99,VfL Bochum,Kaiserslautern,1,2,A,1,0,H,,,,,,,,,,,
D1,20/03/99,Duisburg,SC Freiburg,1,0,H,0,0,D,,,,,,,,,,,
D1,20/03/99,Hertha Berlin,TSV Munich 1860,2,1,H,1,1,D,,,,,,,,,,,
D1,20/03/99,Nurnberg,Eintracht Frankfurt,2,2,D,1,1,D,,,,,,,,,,,
D1,20/03/99,VfB Stuttgart,Borussia Monchengladbach,2,2,D,1,0,H,,,,,,,,,,,
D1,21/03/99,Hansa Rostock,Hamburg SV,0,1,A,0,1,A,,,,,,,,,,,
D1,03/04/99,Borussia Dortmund,Bayern Munich,2,2,D,2,0,H,,,,,,,,,,,
D1,03/04/99,Hamburg SV,SC Freiburg,2,1,H,1,1,D,,,,,,,,,,,
D1,03/04/99,Kaiserslautern,Bayer Leverkusen,0,1,A,0,1,A,,,,,,,,,,,
D1,03/04/99,TSV Munich 1860,Nurnberg,1,2,A,0,1,A,,,,,,,,,,,
D1,03/04/99,Schalke 04,VfL Wolfsburg,2,0,H,0,0,D,,,,,,,,,,,
D1,03/04/99,VfB Stuttgart,Duisburg,0,0,D,0,0,D,,,,,,,,,,,
D1,03/04/99,Werder Bremen,Hansa Rostock,0,3,A,0,2,A,,,,,,,,,,,
D1,04/04/99,Eintracht Frankfurt,VfL Bochum,1,0,H,0,0,D,,,,,,,,,,,
D1,04/04/99,Borussia Monchengladbach,Hertha Berlin,2,4,A,0,1,A,,,,,,,,,,,
D1,09/04/99,Duisburg,Hamburg SV,2,3,A,2,0,H,,,,,,,,,,,
D1,09/04/99,SC Freiburg,Werder Bremen,0,2,A,0,0,D,,,,,,,,,,,
D1,10/04/99,Bayern Munich,Schalke 04,1,1,D,0,0,D,,,,,,,,,,,
D1,10/04/99,Hansa Rostock,Borussia Dortmund,2,0,H,0,0,D,,,,,,,,,,,
