Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,GBH,GBD,GBA,IWH,IWD,IWA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5
D2,11/09/02,St Pauli,TSV Eintracht Braunschweig,7,1,H,2,1,H,1.909,3.25,3.4,1.91,3.2,3.75,1.75,3.2,4,1.909,3.2,3.5,1.95,3.3,3.1,1.72,1.92
D2,13/09/02,Alemannia Aachen,Karlsruher SC,2,0,H,0,0,D,1.909,3.25,3.4,1.95,3.35,3.48,1.85,3.1,3.6,1.909,3.25,3.4,2.1,3.2,2.85,,
D2,13/09/02,Ahlen,FC Cologne,0,0,D,0,0,D,2.5,3.25,2.375,2.71,3.1,2.4,2.5,3,2.5,2.5,3.25,2.375,2.7,3.1,2.25,,
D2,13/09/02,Ein Trier,MSV Duisburg,3,0,H,1,0,H,2,3.2,3.2,2.07,3.2,3.15,2,3.1,3.2,2,3.2,3.2,2.1,3.15,2.9,1.6,2.05
D2,15/09/02,Eintracht Frankfurt,Burghausen,0,2,A,0,1,A,1.444,3.75,6,1.46,3.75,6.25,1.5,3.7,5,1.4,3.75,7,1.4,3.7,6.5,1.8,1.9
D2,15/09/02,Lubeck,SpVgg Greuther Fürth,1,2,A,0,0,D,1.8,3.25,3.8,1.88,3.25,3.75,1.9,3.3,3.2,1.85,3.25,3.6,1.85,3.3,3.4,1.8,1.9
D2,15/09/02,Mainz,Reutlingen,1,3,A,0,2,A,1.533,3.25,5.2,1.58,3.6,5.2,1.55,3.5,4.8,1.571,3.5,5,1.5,3.5,5.4,1.75,1.95
D2,15/09/02,Mannheim,Oberhausen,1,0,H,1,0,H,1.909,3.2,3.2,2.13,3.15,3.11,2,3.1,3.2,2.1,3.2,3,2,3.2,3.1,1.95,1.75
D2,15/09/02,Union Berlin,St Pauli,4,2,H,0,1,A,1.727,3.25,4.2,1.82,3.38,3.85,1.8,3.1,3.8,1.8,3.3,3.75,1.75,3.4,3.7,1.9,1.85
D2,16/09/02,TSV Eintracht Braunschweig,SC Freiburg,0,2,A,0,1,A,2.875,3.3,2.1,3.2,3.2,2.11,3.1,3,2.1,3,3.2,2.1,2.8,3.15,2.15,1.7,1.95
D2,18/09/02,Mainz,Ein Trier,2,0,H,1,0,H,,,,1.92,3.2,3.3,1.9,3.1,3.5,1.75,3.3,3.8,1.8,3.2,3.75,1.7,1.95
D2,20/09/02,Burghausen,Ahlen,3,1,H,0,1,A,2.375,3.25,2.5,2.3,3.25,2.62,2.3,3,2.7,2.3,3.2,2.625,2.2,3.15,2.75,1.9,1.8
D2,20/09/02,MSV Duisburg,Alemannia Aachen,3,3,D,1,3,A,1.8,3.25,3.75,1.85,3.25,4,1.75,3.2,4,1.75,3.25,4,1.75,3.3,3.8,1.95,1.8
D2,20/09/02,Reutlingen,Mannheim,3,2,H,0,1,A,1.8,3.25,3.75,1.85,3.26,3.91,1.85,3.1,3.6,1.8,3.25,3.8,1.75,3.3,3.8,1.85,1.87
D2,22/09/02,FC Cologne,Lubeck,2,1,H,1,1,D,1.615,3.4,5,1.6,3.45,4.6,1.65,3.3,4.4,1.6,3.4,4.75,1.5,3.55,5.25,1.6,2.15
D2,22/09/02,SC Freiburg,Union Berlin,4,0,H,1,0,H,1.727,3.4,4,1.7,3.41,4.1,1.7,3.2,4.2,1.7,3.3,4,1.65,3.3,4.4,1.8,1.9
D2,22/09/02,SpVgg Greuther Fürth,TSV Eintracht Braunschweig,3,0,H,2,0,H,1.667,3.4,4.333,1.6,3.35,4.7,1.55,3.5,4.8,1.615,3.4,4.6,1.55,3.45,5,1.7,1.95
D2,22/09/02,Oberhausen,Ein Trier,2,1,H,0,1,A,2.1,3.2,2.875,2.1,3.25,2.95,2,3.1,3.2,2,3.25,3.1,2.15,3.15,2.8,1.95,1.75
D2,22/09/02,St Pauli,Mainz,1,4,A,0,0,D,2.2,3.2,2.625,2.35,3.2,2.65,2.2,3,2.9,2.2,3.2,2.8,2.2,3.15,2.75,1.7,2.1
D2,23/09/02,Karlsruher SC,Eintracht Frankfurt,0,2,A,0,1,A,2.625,3.25,2.25,2.6,3.2,2.3,2.7,3,2.3,2.625,3.2,2.3,2.5,3.1,2.4,1.91,1.83
D2,27/09/02,TSV Eintracht Braunschweig,FC Cologne,1,1,D,1,0,H,3.75,3.25,1.83,3.75,3.4,1.77,3.4,3.2,1.9,3.5,3.25,1.85,3.5,3.1,1.9,1.8,1.9
D2,27/09/02,Mannheim,St Pauli,2,5,A,1,2,A,2,3.2,3.2,1.95,3.29,3.57,2.1,3,3.1,1.909,3.25,3.3,1.9,3.25,3.3,1.6,2.18
D2,27/09/02,Union Berlin,SpVgg Greuther Fürth,2,2,D,2,2,D,1.8,3.25,3.75,2,3.3,3.6,2,3.1,3.2,1.85,3.25,3.5,1.9,3.25,3.3,1.8,1.9
D2,29/09/02,Ahlen,Karlsruher SC,2,2,D,0,1,A,1.62,3.5,4.5,1.65,3.4,4.5,1.6,3.4,4.6,1.67,3.2,4.5,1.7,3.35,4,1.65,1.95
D2,29/09/02,Eintracht Frankfurt,MSV Duisburg,2,1,H,1,1,D,1.62,3.5,4.5,1.62,3.4,4.9,1.55,3.5,4.8,1.62,3.4,4.5,1.5,3.55,5.25,1.65,1.96
D2,29/09/02,Ein Trier,Alemannia Aachen,4,1,H,2,0,H,1.8,3.25,3.75,1.75,3.3,4,1.75,3.2,4,1.75,3.3,3.8,1.7,3.35,4,1.65,1.95
D2,29/09/02,Lubeck,Burghausen,3,1,H,1,0,H,1.8,3.25,3.75,1.87,3.3,3.6,1.9,3.1,3.5,1.85,3.25,3.5,1.85,3.3,3.4,1.65,2.12
D2,29/09/02,Oberhausen,Reutlingen,3,1,H,0,1,A,1.727,3.4,4,1.92,3.3,3.6,1.9,3.1,3.5,1.83,3.25,3.6,1.9,3.25,3.3,1.7,1.9
D2,30/09/02,Mainz,SC Freiburg,0,0,D,0,0,D,2.4,3.25,2.5,2.38,3.2,2.55,2.4,3,2.6,2.4,3.2,2.5,2.3,3.2,2.55,1.75,2.05
D2,04/10/02,Burghausen,TSV Eintracht Braunschweig,4,2,H,2,0,H,1.667,3.4,4.333,1.65,3.4,4.25,1.65,3.3,4.4,1.667,3.4,4.2,1.8,3.3,3.6,,
