Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,,,,,,,,,,,,,,,,,,,,,
D1,03/12/94,Eintracht Frankfurt,Hamburg SV,2,0,H,,,,,,,,,,,,,,,,,,,,,
D1,03/12/94,Karlsruher SC,Werder Bremen,3,1,H,,,,,,,,,,,,,,,,,,,,,
D1,03/12/94,Bayer Leverkusen,FC Cologne,3,1,H,,,,,,,,,,,,,,,,,,,,,
D1,03/12/94,Schalke 04,VfL Bochum,3,2,H,,,,,,,,,,,,,,,,,,,,,
D1,03/12/94,VfB Stuttgart,Borussia Monchengladbach,2,4,A,,,,,,,,,,,,,,,,,,,,,
D1,03/12/94,Uerdingen,SC Freiburg,0,2,A,,,,,,,,,,,,,,,,,,,,,
D1,10/12/94,Dresden,Bayer Leverkusen,1,1,D,,,,,,,,,,,,,,,,,,,,,
D1,10/12/94,MSV Duisburg,VfB Stuttgart,2,0,H,,,,,,,,,,,,,,,,,,,,,
D1,10/12/94,SC Freiburg,Schalke 04,3,0,H,,,,,,,,,,,,,,,,,,,,,
D1,10/12/94,Hamburg SV,Borussia Dortmund,0,4,A,,,,,,,,,,,,,,,,,,,,,
D1,10/12/94,TSV Munich 1860,Eintracht Frankfurt,2,1,H,,,,,,,,,,,,,,,,,,,,,
D1,10/12/94,Werder Bremen,Bayern Munich,0,0,D,,,,,,,,,,,,,,,,,,,,,
D1,17/02/95,MSV Duisburg,Uerdingen,2,0,H,,,,,,,,,,,,,,,,,,,,,
D1,17/02/95,FC Cologne,Eintracht Frankfurt,3,0,H,,,,,,,,,,,,,,,,,,,,,
D1,17/02/95,SC Freiburg,Karlsruher SC,2,1,H,,,,,,,,,,,,,,,,,,,,,
D1,18/02/95,VfL Bochum,Bayern Munich,1,2,A,,,,,,,,,,,,,,,,,,,,,
D1,18/02/95,Hamburg SV,VfB Stuttgart,0,2,A,,,,,,,,,,,,,,,,,,,,,
D1,18/02/95,Kaiserslautern,Bayer Leverkusen,1,0,H,,,,,,,,,,,,,,,,,,,,,
D1,18/02/95,Borussia Monchengladbach,Schalke 04,0,1,A,,,,,,,,,,,,,,,,,,,,,
D1,18/02/95,TSV Munich 1860,Borussia Dortmund,1,5,A,,,,,,,,,,,,,,,,,,,,,
D1,18/02/95,Werder Bremen,Dresden,1,0,H,,,,,,,,,,,,,,,,,,,,,
D1,25/02/95,Bayern Munich,SC Freiburg,2,2,D,,,,,,,,,,,,,,,,,,,,,
D1,25/02/95,Borussia Dortmund,FC Cologne,2,1,H,,,,,,,,,,,,,,,,,,,,,
D1,25/02/95,Dresden,VfL Bochum,0,2,A,,,,,,,,,,,,,,,,,,,,,
D1,25/02/95,Eintracht Frankfurt,Kaiserslautern,1,3,A,,,,,,,,,,,,,,,,,,,,,
D1,25/02/95,Bayer Leverkusen,Werder Bremen,1,2,A,,,,,,,,,,,,,,,,,,,,,
D1,25/02/95,Schalke 04,MSV Duisburg,0,0,D,,,,,,,,,,,,,,,,,,,,,
D1,25/02/95,VfB Stuttgart,TSV Munich 1860,1,1,D,,,,,,,,,,,,,,,,,,,,,
D1,25/02/95,Uerdingen,Hamburg SV,4,1,H,,,,,,,,,,,,,,,,,,,,,
D1,26/02/95,Karlsruher SC,Borussia Monchengladbach,2,4,A,,,,,,,,,,,,,,,,,,,,,
D1,04/03/95,VfL Bochum,Werder Bremen,1,3,A,,,,,,,,,,,,,,,,,,,,,
D1,04/03/95,MSV Duisburg,Karlsruher SC,0,0,D,,,,,,,,,,,,,,,,,,,,,
