Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,,,,,,,,,,,
D2,20/10/97,Eintracht Frankfurt,Uerdingen,0,1,A,0,0,D,,,,,,,,,,,
D2,24/10/97,F Koln,VfB Stuttgarter K,2,2,D,1,1,D,,,,,,,,,,,
D2,24/10/97,Meppen,Eintracht Frankfurt,1,1,D,0,0,D,,,,,,,,,,,
D2,24/10/97,Unterhaching,CZ Jena,3,0,H,1,0,H,,,,,,,,,,,
D2,26/10/97,Dusseldorf,Wattenscheid,2,0,H,1,0,H,,,,,,,,,,,
D2,26/10/97,SpVgg Greuther Fürth,Leipzig,3,0,H,0,0,D,,,,,,,,,,,
D2,26/10/97,Gutersloh,Uerdingen,1,1,D,0,0,D,,,,,,,,,,,
D2,26/10/97,Mainz,Nurnberg,2,5,A,1,3,A,,,,,,,,,,,
D2,26/10/97,Zwickau,Energie Cottbus,0,0,D,0,0,D,,,,,,,,,,,
D2,27/10/97,St Pauli,SC Freiburg,2,0,H,1,0,H,,,,,,,,,,,
D2,31/10/97,CZ Jena,SpVgg Greuther Fürth,0,1,A,0,0,D,,,,,,,,,,,
D2,31/10/97,Eintracht Frankfurt,Unterhaching,1,1,D,0,0,D,,,,,,,,,,,
D2,31/10/97,Nurnberg,Zwickau,2,0,H,1,0,H,,,,,,,,,,,
D2,02/11/97,Energie Cottbus,F Koln,1,1,D,0,0,D,,,,,,,,,,,
D2,02/11/97,Leipzig,St Pauli,2,0,H,0,0,D,,,,,,,,,,,
D2,02/11/97,VfB Stuttgarter K,Dusseldorf,2,4,A,1,0,H,,,,,,,,,,,
D2,02/11/97,Uerdingen,Meppen,2,0,H,1,0,H,,,,,,,,,,,
D2,02/11/97,Wattenscheid,Gutersloh,1,2,A,0,2,A,,,,,,,,,,,
D2,03/11/97,SC Freiburg,Mainz,2,1,H,1,0,H,,,,,,,,,,,
D2,07/11/97,Mainz,Leipzig,2,1,H,1,1,D,,,,,,,,,,,
D2,07/11/97,St Pauli,CZ Jena,2,1,H,0,0,D,,,,,,,,,,,
D2,07/11/97,Wattenscheid,VfB Stuttgarter K,0,1,A,0,0,D,,,,,,,,,,,
D2,09/11/97,Dusseldorf,Energie Cottbus,1,2,A,1,1,D,,,,,,,,,,,
D2,09/11/97,F Koln,Nurnberg,0,1,A,0,0,D,,,,,,,,,,,
D2,09/11/97,SpVgg Greuther Fürth,Eintracht Frankfurt,2,1,H,0,0,D,,,,,,,,,,,
D2,09/11/97,Gutersloh,Meppen,1,0,H,1,0,H,,,,,,,,,,,
D2,09/11/97,Unterhaching,Uerdingen,2,0,H,1,0,H,,,,,,,,,,,
D2,10/11/97,Zwickau,SC Freiburg,0,1,A,0,0,D,,,,,,,,,,,
D2,21/11/97,CZ Jena,Mainz,2,2,D,1,2,A,,,,,,,,,,,
D2,21/11/97,Uerdingen,SpVgg Greuther Fürth,2,0,H,2,0,H,,,,,,,,,,,
D2,22/11/97,Meppen,Unterhaching,1,1,D,0,0,D,,,,,,,,,,,
D2,23/11/97,Energie Cottbus,Wattenscheid,1,2,A,0,0,D,,,,,,,,,,,
D2,23/11/97,SC Freiburg,F Koln,3,2,H,1,1,D,,,,,,,,,,,
D2,23/11/97,Leipzig,Zwickau,0,1,A,0,0,D,,,,,,,,,,,
D2,23/11/97,Nurnberg,Dusseldorf,0,1,A,0,0,D,,,,,,,,,,,
D2,23/11/97,VfB Stuttgarter K,Gutersloh,0,2,A,0,0,D,,,,,,,,,,,
D2,24/11/97,Eintracht Frankfurt,St Pauli,4,2,H,3,0,H,,,,,,,,,,,
D2,28/11/97,Mainz,Eintracht Frankfurt,1,1,D,1,0,H,,,,,,,,,,,
D2,28/11/97,St Pauli,Uerdingen,0,0,D,0,0,D,,,,,,,,,,,
D2,29/11/97,SpVgg Greuther Fürth,Meppen,2,0,H,1,0,H,,,,,,,,,,,
D2,29/11/97,Zwickau,CZ Jena,0,3,A,0,2,A,,,,,,,,,,,
D2,30/11/97,Energie Cottbus,VfB Stuttgarter K,2,1,H,0,1,A,,,,,,,,,,,
D2,30/11/97,Dusseldorf,SC Freiburg,2,4,A,1,2,A,,,,,,,,,,,
D2,30/11/97,F Koln,Leipzig,2,0,H,0,0,D,,,,,,,,,,,
D2,30/11/97,Unterhaching,Gutersloh,1,1,D,1,1,D,,,,,,,,,,,
D2,01/12/97,Wattenscheid,Nurnberg,0,1,A,0,1,A,,,,,,,,,,,
D2,06/12/97,SC Freiburg,Wattenscheid,4,0,H,3,0,H,,,,,,,,,,,
D2,06/12/97,Leipzig,Dusseldorf,1,1,D,0,1,A,,,,,,,,,,,
D2,07/12/97,Eintracht Frankfurt,Zwickau,1,1,D,1,0,H,,,,,,,,,,,
D2,07/12/97,Gutersloh,Energie Cottbus,0,0,D,0,0,D,,,,,,,,,,,
D2,07/12/97,Meppen,St Pauli,0,3,A,0,2,A,,,,,,,,,,,
D2,07/12/97,Uerdingen,Mainz,0,1,A,0,0,D,,,,,,,,,,,
D2,07/12/97,Unterhaching,SpVgg Greuther Fürth,0,1,A,0,0,D,,,,,,,,,,,
D2,08/12/97,Nurnberg,VfB Stuttgarter K,1,0,H,0,0,D,,,,,,,,,,,
D2,12/12/97,Dusseldorf,CZ Jena,2,2,D,0,1,A,,,,,,,,,,,
D2,12/12/97,VfB Stuttgarter K,SC Freiburg,0,1,A,0,1,A,,,,,,,,,,,
D2,12/12/97,Wattenscheid,Leipzig,4,0,H,2,0,H,,,,,,,,,,,
D2,13/12/97,Zwickau,Uerdingen,1,0,H,1,0,H,,,,,,,,,,,
D2,14/12/97,Energie Cottbus,Nurnberg,1,1,D,1,1,D,,,,,,,,,,,
D2,14/12/97,F Koln,Eintracht Frankfurt,1,2,A,1,0,H,,,,,,,,,,,
D2,14/12/97,SpVgg Greuther Fürth,Gutersloh,0,0,D,0,0,D,,,,,,,,,,,
D2,14/12/97,Mainz,Meppen,3,0,H,0,0,D,,,,,,,,,,,
D2,15/12/97,St Pauli,Unterhaching,1,0,H,0,0,D,,,,,,,,,,,
D2,20/12/97,CZ Jena,F Koln,1,3,A,1,2,A,,,,,,,,,,,
D2,14/02/98,Nurnberg,Gutersloh,1,0,H,0,0,D,,,,,,,,,,,
D2,14/02/98,St Pauli,SpVgg Greuther Fürth,1,0,H,0,0,D,,,,,,,,,,,
D2,14/02/98,Zwickau,Meppen,0,0,D,0,0,D,,,,,,,,,,,
D2,15/02/98,Energie Cottbus,SC Freiburg,2,1,H,2,0,H,,,,,,,,,,,
D2,15/02/98,F Koln,Uerdingen,2,2,D,0,1,A,,,,,,,,,,,
D2,15/02/98,Mainz,Unterhaching,1,1,D,0,0,D,,,,,,,,,,,
D2,15/02/98,VfB Stuttgarter K,Leipzig,2,3,A,1,1,D,,,,,,,,,,,
D2,15/02/98,Wattenscheid,CZ Jena,2,0,H,2,0,H,,,,,,,,,,,
D2,16/02/98,Dusseldorf,Eintracht Frankfurt,0,0,D,0,0,D,,,,,,,,,,,
D2,20/02/98,SC Freiburg,Nurnberg,0,1,A,0,1,A,,,,,,,,,,,
D2,20/02/98,Leipzig,Energie Cottbus,0,0,D,0,0,D,,,,,,,,,,,
D2,22/02/98,CZ Jena,VfB Stuttgarter K,2,1,H,0,0,D,,,,,,,,,,,
D2,22/02/98,SpVgg Greuther Fürth,Mainz,2,2,D,1,1,D,,,,,,,,,,,
D2,22/02/98,Gutersloh,St Pauli,1,1,D,0,0,D,,,,,,,,,,,
D2,22/02/98,Unterhaching,Zwickau,2,0,H,0,0,D,,,,,,,,,,,
D2,23/02/98,Eintracht Frankfurt,Wattenscheid,2,1,H,2,1,H,,,,,,,,,,,
D2,25/02/98,Meppen,F Koln,2,2,D,0,1,A,,,,,,,,,,,
D2,25/02/98,Uerdingen,Dusseldorf,0,1,A,0,1,A,,,,,,,,,,,
D2,27/02/98,Nurnberg,Leipzig,3,1,H,2,1,H,,,,,,,,,,,
D2,27/02/98,Zwickau,SpVgg Greuther Fürth,1,1,D,0,0,D,,,,,,,,,,,
D2,28/02/98,VfB Stuttgarter K,Eintracht Frankfurt,2,3,A,0,1,A,,,,,,,,,,,
D2,01/03/98,Energie Cottbus,CZ Jena,0,0,D,0,0,D,,,,,,,,,,,
D2,01/03/98,Dusseldorf,Meppen,4,3,H,1,1,D,,,,,,,,,,,
D2,01/03/98,F Koln,Unterhaching,2,1,H,0,0,D,,,,,,,,,,,
D2,01/03/98,Mainz,St Pauli,0,0,D,0,0,D,,,,,,,,,,,
D2,01/03/98,Wattenscheid,Uerdingen,0,1,A,0,1,A,,,,,,,,,,,
D2,02/03/98,SC Freiburg,Gutersloh,2,1,H,1,1,D,,,,,,,,,,,
D2,06/03/98,CZ Jena,Nurnberg,0,3,A,0,2,A,,,,,,,,,,,
D2,06/03/98,St Pauli,Zwickau,3,1,H,2,0,H,,,,,,,,,,,
D2,06/03/98,Uerdingen,VfB Stuttgarter K,0,2,A,0,1,A,,,,,,,,,,,
D2,08/03/98,Eintracht Frankfurt,Energie Cottbus,2,0,H,1,0,H,,,,,,,,,,,
D2,08/03/98,SpVgg Greuther Fürth,F Koln,0,0,D,0,0,D,,,,,,,,,,,
D2,08/03/98,Gutersloh,Mainz,3,2,H,2,2,D,,,,,,,,,,,
D2,08/03/98,Leipzig,SC Freiburg,2,0,H,1,0,H,,,,,,,,,,,
D2,09/03/98,Unterhaching,Dusseldorf,3,1,H,2,1,H,,,,,,,,,,,
D2,10/03/98,Uerdingen,Nurnberg,0,3,A,0,1,A,,,,,,,,,,,
D2,13/03/98,SC Freiburg,CZ Jena,1,1,D,1,0,H,,,,,,,,,,,
D2,13/03/98,Leipzig,Gutersloh,1,0,H,0,0,D,,,,,,,,,,,
D2,13/03/98,Wattenscheid,Unterhaching,2,0,H,1,0,H,,,,,,,,,,,
D2,14/03/98,F Koln,St Pauli,1,1,D,0,0,D,,,,,,,,,,,
D2,15/03/98,Energie Cottbus,Uerdingen,2,2,D,0,1,A,,,,,,,,,,,
D2,15/03/98,Dusseldorf,SpVgg Greuther Fürth,1,0,H,1,0,H,,,,,,,,,,,
D2,15/03/98,Zwickau,Mainz,0,0,D,0,0,D,,,,,,,,,,,
D2,16/03/98,Nurnberg,Eintracht Frankfurt,0,1,A,0,1,A,,,,,,,,,,,
D2,17/03/98,Meppen,Wattenscheid,1,0,H,0,0,D,,,,,,,,,,,
D2,20/03/98,Mainz,F Koln,2,2,D,1,0,H,,,,,,,,,,,
D2,20/03/98,St Pauli,Dusseldorf,3,1,H,2,1,H,,,,,,,,,,,
D2,22/03/98,SpVgg Greuther Fürth,Wattenscheid,0,0,D,0,0,D,,,,,,,,,,,
D2,22/03/98,Meppen,Energie Cottbus,3,1,H,3,0,H,,,,,,,,,,,
D2,22/03/98,Unterhaching,VfB Stuttgarter K,2,0,H,0,0,D,,,,,,,,,,,
D2,23/03/98,Eintracht Frankfurt,SC Freiburg,2,0,H,1,0,H,,,,,,,,,,,
D2,27/03/98,CZ Jena,Gutersloh,2,1,H,1,0,H,,,,,,,,,,,
D2,27/03/98,Leipzig,Eintracht Frankfurt,1,1,D,0,1,A,,,,,,,,,,,
D2,28/03/98,F Koln,Zwickau,5,2,H,3,0,H,,,,,,,,,,,
D2,29/03/98,Energie Cottbus,Unterhaching,1,0,H,1,0,H,,,,,,,,,,,
D2,29/03/98,Dusseldorf,Mainz,2,0,H,1,0,H,,,,,,,,,,,
D2,29/03/98,VfB Stuttgarter K,SpVgg Greuther Fürth,1,0,H,0,0,D,,,,,,,,,,,
D2,29/03/98,Wattenscheid,St Pauli,4,1,H,1,0,H,,,,,,,,,,,
D2,30/03/98,SC Freiburg,Uerdingen,0,0,D,0,0,D,,,,,,,,,,,
