Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,,,,,,,,,,,,,,,,,,,,,
D1,02/10/93,Leipzig,Borussia Monchengladbach,1,1,D,,,,,,,,,,,,,,,,,,,,,
D1,02/10/93,Bayer Leverkusen,Nurnberg,4,0,H,,,,,,,,,,,,,,,,,,,,,
D1,02/10/93,Schalke 04,Werder Bremen,1,1,D,,,,,,,,,,,,,,,,,,,,,
D1,02/10/93,VfB Stuttgart,Eintracht Frankfurt,0,2,A,,,,,,,,,,,,,,,,,,,,,
D1,02/10/93,Wattenscheid,Borussia Dortmund,1,2,A,,,,,,,,,,,,,,,,,,,,,
D1,09/10/93,Eintracht Frankfurt,Leipzig,2,1,H,,,,,,,,,,,,,,,,,,,,,
D1,09/10/93,FC Cologne,Bayern Munich,0,4,A,,,,,,,,,,,,,,,,,,,,,
D1,09/10/93,Hamburg SV,Wattenscheid,2,1,H,,,,,,,,,,,,,,,,,,,,,
D1,09/10/93,Kaiserslautern,VfB Stuttgart,5,0,H,,,,,,,,,,,,,,,,,,,,,
D1,09/10/93,Karlsruher SC,Bayer Leverkusen,2,0,H,,,,,,,,,,,,,,,,,,,,,
D1,09/10/93,Borussia Monchengladbach,MSV Duisburg,4,1,H,,,,,,,,,,,,,,,,,,,,,
D1,09/10/93,Nurnberg,Dresden,3,0,H,,,,,,,,,,,,,,,,,,,,,
D1,09/10/93,Schalke 04,SC Freiburg,1,3,A,,,,,,,,,,,,,,,,,,,,,
D1,09/10/93,Werder Bremen,Borussia Dortmund,4,0,H,,,,,,,,,,,,,,,,,,,,,
D1,16/10/93,Bayern Munich,Borussia Monchengladbach,3,1,H,,,,,,,,,,,,,,,,,,,,,
D1,16/10/93,Borussia Dortmund,Hamburg SV,2,1,H,,,,,,,,,,,,,,,,,,,,,
D1,16/10/93,Dresden,Karlsruher SC,1,1,D,,,,,,,,,,,,,,,,,,,,,
D1,16/10/93,MSV Duisburg,Eintracht Frankfurt,1,0,H,,,,,,,,,,,,,,,,,,,,,
D1,16/10/93,SC Freiburg,Werder Bremen,0,0,D,,,,,,,,,,,,,,,,,,,,,
D1,16/10/93,Leipzig,Kaiserslautern,0,0,D,,,,,,,,,,,,,,,,,,,,,
D1,16/10/93,Bayer Leverkusen,Schalke 04,5,1,H,,,,,,,,,,,,,,,,,,,,,
D1,16/10/93,VfB Stuttgart,Nurnberg,1,0,H,,,,,,,,,,,,,,,,,,,,,
D1,16/10/93,Wattenscheid,FC Cologne,2,2,D,,,,,,,,,,,,,,,,,,,,,
D1,23/10/93,Eintracht Frankfurt,Bayern Munich,2,2,D,,,,,,,,,,,,,,,,,,,,,
D1,23/10/93,FC Cologne,Borussia Dortmund,2,0,H,,,,,,,,,,,,,,,,,,,,,
D1,23/10/93,SC Freiburg,Bayer Leverkusen,1,0,H,,,,,,,,,,,,,,,,,,,,,
D1,23/10/93,Kaiserslautern,MSV Duisburg,2,0,H,,,,,,,,,,,,,,,,,,,,,
D1,23/10/93,Karlsruher SC,VfB Stuttgart,0,0,D,,,,,,,,,,,,,,,,,,,,,
D1,23/10/93,Borussia Monchengladbach,Wattenscheid,3,3,D,,,,,,,,,,,,,,,,,,,,,
D1,23/10/93,Nurnberg,Leipzig,5,0,H,,,,,,,,,,,,,,,,,,,,,
D1,23/10/93,Schalke 04,Dresden,0,0,D,,,,,,,,,,,,,,,,,,,,,
D1,23/10/93,Werder Bremen,Hamburg SV,0,2,A,,,,,,,,,,,,,,,,,,,,,
D1,30/10/93,Bayern Munich,Kaiserslautern,4,0,H,,,,,,,,,,,,,,,,,,,,,
D1,30/10/93,Borussia Dortmund,Borussia Monchengladbach,3,0,H,,,,,,,,,,,,,,,,,,,,,
D1,30/10/93,Dresden,SC Freiburg,1,2,A,,,,,,,,,,,,,,,,,,,,,
D1,30/10/93,MSV Duisburg,Nurnberg,1,0,H,,,,,,,,,,,,,,,,,,,,,
D1,30/10/93,Hamburg SV,FC Cologne,2,4,A,,,,,,,,,,,,,,,,,,,,,
D1,30/10/93,Leipzig,Karlsruher SC,1,0,H,,,,,,,,,,,,,,,,,,,,,
D1,30/10/93,Bayer Leverkusen,Werder Bremen,2,2,D,,,,,,,,,,,,,,,,,,,,,
D1,30/10/93,VfB Stuttgart,Schalke 04,3,0,H,,,,,,,,,,,,,,,,,,,,,
D1,30/10/93,Wattenscheid,Eintracht Frankfurt,0,0,D,,,,,,,,,,,,,,,,,,,,,
D1,06/11/93,Dresden,Bayer Leverkusen,1,1,D,,,,,,,,,,,,,,,,,,,,,
