Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SOH,SOD,SOA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5,B365>2.5,B365<2.5,
D1,11/09/02,Hansa Rostock,Bayer Leverkusen,1,3,A,0,2,A,2.625,3.1,2.375,2.7,3.1,2.45,2.7,3,2.3,2.5,3.25,2.4,2.7,3.1,2.38,2.7,3.1,2.4,2.6,3.1,2.4,1.7,1.96,,,
D1,11/09/02,Kaiserslautern,Arminia Bielefeld,1,1,D,0,0,D,1.571,3.25,5.5,1.61,3.5,5.25,1.5,3.7,5,1.571,3.5,5,1.62,3.4,5,1.533,3.75,5.5,1.57,3.3,5.5,1.67,2.05,,,
D1,11/09/02,VfB Stuttgart,Schalke 04,1,1,D,1,0,H,2.5,3.1,2.5,2.54,3.05,2.73,2.5,3,2.5,2.375,3.2,2.6,2.5,3.2,2.5,2.3,3.25,2.7,2.5,3.1,2.5,1.7,1.95,,,
D1,11/09/02,VfL Wolfsburg,Hamburg SV,2,1,H,0,0,D,2,3.2,3.2,1.96,3.3,3.5,2,3.1,3.2,1.909,3.2,3.5,2,3,3.5,1.95,3.1,3.6,2,3.1,3.3,1.82,1.95,,,
D1,14/09/02,Arminia Bielefeld,Hertha Berlin,0,1,A,0,0,D,2.625,3.1,2.375,2.7,3.3,2.45,2.5,3,2.5,2.5,3.25,2.4,2.5,3.2,2.5,2.5,3.25,2.5,2.5,3.1,2.5,1.8,1.9,,,
D1,14/09/02,Energie Cottbus,Werder Bremen,0,1,A,0,0,D,2.5,3.1,2.5,2.6,3.2,2.53,2.4,3,2.6,2.5,3.25,2.4,2.5,3.2,2.5,2.5,3.25,2.5,2.6,3.1,2.4,1.65,2.05,,,
D1,14/09/02,Borussia Dortmund,Schalke 04,1,1,D,0,0,D,1.909,3,3.75,1.9,3.33,3.9,1.85,3.1,3.6,1.833,3.4,3.5,1.91,3.2,3.6,1.909,3.2,3.75,1.9,3,3.75,1.85,1.8,,,
D1,14/09/02,Bayer Leverkusen,Hannover,1,3,A,1,1,D,1.333,4,8,1.3,4.5,10,1.35,4,7,1.25,4.5,10,1.29,4.33,10,1.3,4.333,9.5,1.3,4.2,8.5,1.65,2.1,,,
D1,14/09/02,Borussia Monchengladbach,VfB Stuttgart,1,1,D,0,0,D,2,3.2,3.2,2.15,3.25,3.3,2,3.1,3.2,2,3.2,3.2,2,3.25,3.25,2,3.2,3.4,2,3.2,3.2,1.8,1.85,,,
D1,14/09/02,TSV Munich 1860,VfL Wolfsburg,2,2,D,0,0,D,1.909,3.2,3.5,1.95,3.2,3.6,2.1,3,3.1,1.8,3.25,3.75,1.91,3.25,3.5,1.909,3.2,3.75,1.83,3.3,3.6,1.7,2.05,,,
D1,14/09/02,Nurnberg,Bayern Munich,1,2,A,1,1,D,4.5,3.25,1.667,5,3.5,1.67,4.6,3.4,1.6,5,3.25,1.615,5,3.4,1.62,5,3.5,1.615,4.5,3.3,1.66,1.65,2.05,,,
